"","Seu vínculo atual com a USP é como","Gênero","Cor (IBGE)"
"298","Docente","Masculino","Parda"
"299","Docente","Feminino","Branca"
"300","Estudante","Feminino","Parda"
"301","Docente","Feminino","Branca"
"302","Estudante","Não-binário","Branca"
"303","Estudante","Feminino","Parda"
"304","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"305","Docente","Feminino","Branca"
"306","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"307","Estudante","Feminino","Branca"
"308","Estudante","Masculino","Branca"
"309","Estudante","Feminino","Parda"
"310","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"311","Docente","Feminino","Branca"
"312","Estudante","Feminino","Branca"
"313","Estudante","Masculino","Branca"
"314","Estudante","Feminino","Branca"
"315","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"316","Docente","Não-binário","Parda"
"317","Estudante","Feminino","Branca"
"318","Estudante","Feminino","Branca"
"319","Estudante","Feminino","Parda"
"320","Estudante","Feminino","Branca"
"321","Estudante","Feminino","Parda"
"322","Estudante","Masculino","Branca"
"323","Estudante","Feminino","Indígena"
"324","Estudante","Masculino","Amarela"
"325","Estudante","Feminino","Branca"
"326","Estudante","Feminino","Branca"
"327","Estudante","Feminino","Parda"
"328","Estudante","Masculino","Amarela"
"329","Estudante","Feminino","Branca"
"330","Estudante","Feminino","Parda"
"331","Estudante","Masculino","Branca"
"332","Estudante","Feminino","Parda"
"333","Estudante","Feminino","Amarela"
"334","Estudante","Masculino","Branca"
"335","Estudante","Feminino","Branca"
"336","Estudante","Masculino","Parda"
"337","Estudante","Feminino","Branca"
"338","Estudante","Feminino","Branca"
"339","Estudante","Masculino","Branca"
"340","Estudante","Feminino","Branca"
"341","Estudante","Feminino","Parda"
"342","Estudante","Feminino","Branca"
"343","Estudante","Feminino","Branca"
"344","Estudante","Masculino","Branca"
"345","Estudante","Feminino","Amarela"
"346","Estudante","Masculino","Parda"
"347","Estudante","Feminino","Branca"
"348","Estudante","Masculino","Branca"
"349","Estudante","Feminino","Branca"
"350","Estudante","Feminino","Branca"
"351","Estudante","Masculino","Branca"
"352","Estudante","Feminino","Branca"
"353","Estudante","Masculino","Branca"
"354","Estudante","Masculino","Branca"
"355","Estudante","Masculino","Branca"
"356","Estudante","Feminino","Branca"
"357","Estudante","Masculino","Parda"
"358","Estudante","Feminino","Branca"
"359","Estudante","Feminino","Branca"
"360","Estudante","Masculino","Branca"
"361","Estudante","Feminino","Parda"
"362","Estudante","Masculino","Branca"
"363","Estudante","Feminino","Branca"
"364","Estudante","Feminino","Parda"
"365","Estudante","Feminino","Branca"
"366","Estudante","Feminino","Preta"
"367","Estudante","Feminino","Branca"
"368","Estudante","Masculino","Branca"
"369","Estudante","Masculino","Branca"
"370","Estudante","Feminino","Branca"
"371","Estudante","Masculino","Parda"
"372","Estudante","Feminino","Branca"
"373","Estudante","Feminino","Amarela"
"374","Estudante","Feminino","Parda"
"375","Estudante","Feminino","Parda"
"376","Estudante","Feminino","Branca"
"377","Estudante","Feminino","Branca"
"378","Estudante","Feminino","Branca"
"379","Estudante","Masculino","Branca"
"380","Estudante","Feminino","Parda"
"381","Estudante","Masculino","Branca"
"382","Estudante","Feminino","Branca"
"383","Estudante","Masculino","Branca"
"384","Estudante","Feminino","Parda"
"385","Estudante","Feminino","Branca"
"386","Estudante","Masculino","Parda"
"387","Estudante","Feminino","Preta"
"388","Estudante","Masculino","Parda"
"389","Estudante","Feminino","Branca"
"390","Estudante","Masculino","Branca"
"391","Estudante","Masculino","Parda"
"392","Estudante","Masculino","Branca"
"393","Estudante","Masculino","Branca"
"394","Estudante","Feminino","Branca"
"395","Estudante","Masculino","Branca"
"396","Estudante","Masculino","Preta"
"397","Estudante","Feminino","Branca"
"398","Estudante","Feminino","Branca"
"399","Estudante","Masculino","Branca"
"400","Estudante","Masculino","Parda"
"401","Estudante","Feminino","Branca"
"402","Estudante","Feminino","Branca"
"403","Estudante","Feminino","Branca"
"404","Estudante","Feminino","Branca"
"405","Estudante","Feminino","Amarela"
"406","Estudante","Feminino","Branca"
"407","Estudante","Feminino","Branca"
"408","Docente","Masculino","Branca"
"409","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"410","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"411","Docente","Feminino","Branca"
"412","Docente","Feminino","Branca"
"413","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"414","Docente","Masculino","Branca"
"415","Docente","Masculino","Branca"
"416","Docente","Masculino","Branca"
"417","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"418","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"419","Docente","Masculino","Branca"
"420","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"421","Docente","Masculino","Branca"
"422","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"423","Docente","Feminino","Branca"
"424","Docente","Feminino","Branca"
"425","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"426","Docente","Masculino","Parda"
"427","Docente","Feminino","Branca"
"428","Docente","Feminino","Branca"
"429","Docente","Masculino","Branca"
"430","Docente","Masculino","Branca"
"431","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"432","Docente","Feminino","Branca"
"433","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"434","Docente","Feminino","Branca"
"435","Docente","Masculino","Branca"
"436","Docente","Masculino","Parda"
"437","Docente","Masculino","Branca"
"438","Docente","Masculino","Parda"
"439","Docente","Feminino","Amarela"
